state,county,year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,births_low,avg_weight_low,avg_ges_age_low,births_all,avg_weight_all,avg_ges_age_all,pct_low,high_rate
nevada,clark,2013,0.518138,14.199927,0.060126,29.024492,10.933205,1623.0,1995.397,34.187,22639.0,3254.439,38.539,0.0717,1
nevada,clark,2014,0.578428,13.617672,0.058967,29.865333,10.52172,1712.0,2027.61,34.52,23056.0,3247.655,38.557,0.0743,1
nevada,clark,2015,0.472881,33.161671,0.058454,25.355061,9.775142,1697.0,2021.543,34.455,23199.0,3244.576,38.535,0.0731,1
nevada,clark,2016,0.530745,41.116944,0.059131,28.092711,10.887693,1798.0,2011.066,34.294,22484.0,3230.975,38.512,0.08,1
nevada,clark,2017,0.472379,42.759444,0.058707,29.921142,9.101326,1607.0,2036.057,34.473,22197.0,3247.828,38.573,0.0724,1
nevada,clark,2018,0.405648,42.123481,0.062967,35.323107,10.122643,1601.0,2046.876,34.528,21736.0,3236.027,38.525,0.0737,1
nevada,clark,2019,0.431094,38.997521,0.056617,29.25741,8.373067,1541.0,2043.311,34.491,20412.0,3235.627,38.464,0.0755,1
nevada,clark,2020,0.478274,37.3241,0.056253,40.367338,12.140812,1697.0,2033.751,34.441,20077.0,3219.084,38.418,0.0845,1
nevada,washoe,2009,0.490663,33.341667,0.049313,34.896552,7.896694,314.0,1982.067,33.869,4471.0,3255.749,38.532,0.0702,1
nevada,washoe,2010,0.500149,32.283014,0.050538,35.704918,6.057851,298.0,2038.403,34.621,4344.0,3264.346,38.592,0.0686,0
nevada,washoe,2011,0.497647,32.157534,0.050507,34.933333,6.706837,256.0,1986.738,34.086,4384.0,3269.219,38.574,0.0584,0
nevada,washoe,2012,0.537198,30.137535,0.052701,29.666667,9.090878,261.0,2005.134,34.157,4331.0,3280.358,38.691,0.0603,0
nevada,washoe,2013,0.537267,30.644077,0.049061,38.578966,12.325317,251.0,1953.247,33.665,4252.0,3262.942,38.592,0.059,0
nevada,washoe,2014,0.433528,28.42967,0.050237,43.170419,8.706769,292.0,2033.798,34.131,4398.0,3254.424,38.615,0.0664,0
nevada,washoe,2015,0.43221,28.544751,0.051195,22.433122,7.858686,283.0,2077.413,34.898,4272.0,3275.184,38.678,0.0662,0
nevada,washoe,2016,0.38086,26.373278,0.049929,22.271341,7.051969,266.0,1986.203,33.996,4202.0,3267.383,38.644,0.0633,0
nevada,washoe,2017,0.416734,25.850425,0.051394,23.677274,8.095784,280.0,2011.639,34.429,4220.0,3271.435,38.624,0.0664,0
nevada,washoe,2018,0.417608,26.005307,0.052501,24.110716,8.107889,256.0,1968.445,34.113,4093.0,3251.934,38.613,0.0625,0
nevada,washoe,2019,0.359012,23.744828,0.049913,20.563478,6.075852,230.0,1987.13,34.043,3776.0,3243.727,38.561,0.0609,0
nevada,washoe,2020,0.377362,25.019469,0.05121,29.265827,11.266936,278.0,1987.68,34.105,3805.0,3251.167,38.55,0.0731,1
new hampshire,hillsborough,2006,0.641934,19.895833,0.049023,15.457627,9.243802,152.0,2033.829,34.136,3432.0,3432.176,38.961,0.0443,0
new hampshire,hillsborough,2007,0.52056,21.188515,0.052869,14.280702,10.268908,174.0,2041.115,34.435,3509.0,3424.718,38.963,0.0496,0
new hampshire,hillsborough,2008,0.515929,21.184384,0.053104,13.803279,9.218182,179.0,2090.732,34.568,3433.0,3422.292,38.954,0.0521,0
new hampshire,hillsborough,2009,0.446105,20.645179,0.046841,13.081967,7.947107,164.0,2015.939,34.42,3197.0,3414.775,39.015,0.0513,0
new hampshire,hillsborough,2010,0.45696,16.629132,0.05233,11.482143,7.980672,204.0,2019.534,34.342,3434.0,3388.863,38.916,0.0594,0
new hampshire,rockingham,2015,0.186161,7.297507,0.046227,12.017544,6.641525,99.0,1984.394,34.152,2121.0,3396.407,38.937,0.0467,0
new hampshire,rockingham,2016,0.169044,6.735294,0.048352,10.049897,5.653537,95.0,2070.442,34.379,2092.0,3416.698,39.005,0.0454,0
